Узел,Тип,Degree,In_Degree,Out_Degree,Betweenness,Степень
appeal_000014,appeal,0.031209362808842653,0.0,0.031209362808842653,0.0,24
appeal_000497,appeal,0.031209362808842653,0.0,0.031209362808842653,0.0,24
по адресу прибрежная 2/41,territory,0.031209362808842653,0.031209362808842653,0.0,0.0,24
appeal_000182,appeal,0.031209362808842653,0.0,0.031209362808842653,0.0,24
appeal_000154,appeal,0.031209362808842653,0.0,0.031209362808842653,0.0,24
appeal_000278,appeal,0.031209362808842653,0.0,0.031209362808842653,0.0,24
ни разу за 2,territory,0.031209362808842653,0.031209362808842653,0.0,0.0,24
понедельник 21,territory,0.031209362808842653,0.031209362808842653,0.0,0.0,24
appeal_000190,appeal,0.031209362808842653,0.0,0.031209362808842653,0.0,24
медицина,theme,0.02860858257477243,0.015604681404421327,0.013003901170351106,2.0474892467740322e-05,22
телефонные обращения по вопросам здравоохранения,theme,0.027308192457737322,0.015604681404421327,0.011703511053315995,6.816280995409734e-06,21
территории между домамиворошилова 25/2,territory,0.026007802340702213,0.026007802340702213,0.0,0.0,20
appeal_000145,appeal,0.02340702210663199,0.0,0.02340702210663199,0.0,18
appeal_000185,appeal,0.02340702210663199,0.0,0.02340702210663199,0.0,18
appeal_000184,appeal,0.02340702210663199,0.0,0.02340702210663199,0.0,18
appeal_000277,appeal,0.02340702210663199,0.0,0.02340702210663199,0.0,18
appeal_000442,appeal,0.02340702210663199,0.0,0.02340702210663199,0.0,18
appeal_000448,appeal,0.02340702210663199,0.0,0.02340702210663199,0.0,18
appeal_000037,appeal,0.02340702210663199,0.0,0.02340702210663199,0.0,18
appeal_000009,appeal,0.02340702210663199,0.0,0.02340702210663199,0.0,18
appeal_000167,appeal,0.02340702210663199,0.0,0.02340702210663199,0.0,18
appeal_000394,appeal,0.02340702210663199,0.0,0.02340702210663199,0.0,18
appeal_000317,appeal,0.02340702210663199,0.0,0.02340702210663199,0.0,18
appeal_000318,appeal,0.02340702210663199,0.0,0.02340702210663199,0.0,18
appeal_000097,appeal,0.02340702210663199,0.0,0.02340702210663199,0.0,18
ул. беринга 3,territory,0.02340702210663199,0.02340702210663199,0.0,0.0,18
по адресу бестужевская 61,territory,0.02080624187256177,0.02080624187256177,0.0,0.0,16
многоквартирные дома,theme,0.02080624187256177,0.011703511053315995,0.009102730819245773,5.123064697186934e-06,16
от дома 13,territory,0.02080624187256177,0.02080624187256177,0.0,0.0,16
appeal_000212,appeal,0.02080624187256177,0.0,0.02080624187256177,0.0,16
на поверхности больше 30,territory,0.02080624187256177,0.02080624187256177,0.0,0.0,16
улице шотмана дом 14,territory,0.02080624187256177,0.02080624187256177,0.0,0.0,16
